left, 2, 1, 1101.99, 205.32
left, 2, 2, 474.56, 208.05
left, 2, 3, 226.70, 187.74
left, 2, 4, 1163.31, 205.07
left, 2, 5, 292.70, 195.23
left, 2, 6, 1015.63, 203.43
left, 2, 7, 254.87, 188.90
left, 2, 8, 1037.07, 202.11
right, 2, 1, 1084.89, 204.73
right, 2, 2, 446.48, 198.87
right, 2, 3, 1019.80, 200.69
right, 2, 4, 269.75, 198.82
right, 2, 5, 208.40, 189.67
right, 2, 6, 237.48, 189.77
right, 2, 7, 1000.32, 202.60
right, 2, 10, 1151.44, 204.48
left, 3, 1, 1102.04, 205.24
left, 3, 2, 478.70, 205.03
left, 3, 3, 225.84, 188.00
left, 3, 4, 1163.27, 205.10
left, 3, 5, 291.75, 201.38
left, 3, 6, 1014.06, 203.43
left, 3, 7, 254.98, 188.89
left, 3, 8, 1037.21, 202.10
right, 3, 1, 1085.02, 204.75
right, 3, 2, 449.73, 201.16
right, 3, 3, 1019.81, 200.79
right, 3, 4, 268.64, 200.33
right, 3, 5, 207.53, 188.93
right, 3, 6, 237.03, 189.62
right, 3, 7, 1000.83, 202.71
right, 3, 10, 1151.73, 204.45
left, 4, 1, 1102.23, 205.26
left, 4, 2, 481.87, 205.81
left, 4, 3, 224.96, 189.65
left, 4, 4, 1163.50, 205.10
left, 4, 5, 291.56, 203.72
left, 4, 6, 1014.30, 203.38
left, 4, 7, 254.68, 188.71
left, 4, 8, 1037.31, 202.16
right, 4, 1, 1085.00, 204.74
right, 4, 2, 454.91, 206.96
right, 4, 3, 1020.20, 200.70
right, 4, 4, 277.42, 192.98
right, 4, 5, 207.09, 188.73
right, 4, 6, 236.57, 189.48
right, 4, 7, 1001.30, 202.67
right, 4, 10, 1151.48, 204.47
left, 5, 1, 1101.74, 205.27
left, 5, 2, 488.84, 206.76
left, 5, 3, 224.68, 189.44
left, 5, 4, 1163.17, 205.10
left, 5, 5, 291.37, 206.06
left, 5, 6, 1014.50, 203.42
left, 5, 7, 254.37, 188.53
left, 5, 8, 1037.29, 202.10
right, 5, 1, 1084.99, 204.74
right, 5, 2, 461.41, 207.47
right, 5, 3, 1020.19, 200.81
right, 5, 4, 276.58, 193.99
right, 5, 5, 206.66, 188.53
right, 5, 6, 236.12, 189.33
right, 5, 7, 1001.37, 202.70
right, 5, 10, 1151.19, 204.35
right, 5, 12, 330.73, 188.54
left, 6, 1, 1101.84, 205.28
left, 6, 2, 494.28, 208.01
left, 6, 3, 224.26, 189.75
left, 6, 4, 1163.22, 205.02
left, 6, 5, 295.41, 196.79
left, 6, 6, 1014.60, 203.55
left, 6, 7, 254.07, 188.34
left, 6, 8, 1037.27, 202.19
left, 6, 13, 231.65, 255.86
right, 6, 1, 1084.86, 204.74
right, 6, 2, 467.10, 207.73
right, 6, 3, 1019.72, 200.84
right, 6, 4, 276.95, 195.56
right, 6, 5, 207.30, 188.34
right, 6, 6, 236.44, 192.61
right, 6, 7, 1001.56, 202.71
right, 6, 10, 1151.34, 204.44
right, 6, 12, 321.56, 193.89
left, 7, 1, 1101.60, 205.26
left, 7, 2, 501.17, 209.36
left, 7, 3, 223.84, 190.06
left, 7, 4, 1163.25, 204.98
left, 7, 5, 297.09, 196.46
left, 7, 6, 1013.95, 203.66
left, 7, 7, 256.27, 191.60
left, 7, 8, 1037.34, 202.30
left, 7, 13, 193.04, 261.39
left, 7, 14, 339.03, 195.78
right, 7, 1, 1085.02, 204.73
right, 7, 2, 472.64, 206.69
right, 7, 3, 1019.85, 200.85
right, 7, 4, 278.13, 195.81
right, 7, 5, 206.72, 188.59
right, 7, 6, 236.68, 192.22
right, 7, 7, 1000.91, 202.75
right, 7, 10, 1151.50, 204.39
right, 7, 12, 318.13, 195.63
right, 7, 14, 124.84, 259.37
left, 8, 1, 1101.65, 205.24
left, 8, 2, 506.63, 210.31
left, 8, 3, 224.68, 190.98
left, 8, 4, 1163.29, 205.01
left, 8, 5, 299.59, 197.33
left, 8, 6, 1014.27, 203.51
left, 8, 7, 256.50, 191.47
left, 8, 8, 1037.28, 202.19
left, 8, 13, 147.69, 263.77
left, 8, 14, 340.34, 196.03
right, 8, 1, 1085.00, 204.75
right, 8, 2, 477.71, 207.87
right, 8, 3, 1019.72, 200.70
right, 8, 4, 279.70, 196.11
right, 8, 5, 206.10, 189.47
right, 8, 6, 236.94, 192.32
right, 8, 7, 1000.93, 202.66
right, 8, 10, 1151.44, 204.35
right, 8, 12, 318.92, 196.32
right, 8, 14, 79.26, 261.45
right, 8, 15, 380.60, 179.78
left, 9, 1, 1101.75, 205.21
left, 9, 2, 509.47, 211.25
left, 9, 3, 225.16, 191.34
left, 9, 4, 1163.44, 205.06
left, 9, 5, 303.93, 196.93
left, 9, 6, 1014.68, 203.52
left, 9, 7, 256.73, 190.77
left, 9, 8, 1037.15, 202.15
left, 9, 13, 93.00, 265.64
left, 9, 14, 340.42, 195.91
right, 9, 1, 1085.09, 204.75
right, 9, 2, 481.59, 209.96
right, 9, 3, 1019.65, 200.78
right, 9, 4, 283.81, 195.72
right, 9, 5, 206.18, 190.00
right, 9, 6, 237.11, 191.79
right, 9, 7, 1001.01, 202.75
right, 9, 10, 1151.40, 204.32
right, 9, 12, 316.38, 197.84
right, 9, 14, 44.07, 266.56
right, 9, 15, 380.27, 179.97
left, 10, 1, 1101.84, 205.24
left, 10, 2, 515.66, 210.63
left, 10, 3, 225.22, 191.97
left, 10, 4, 1163.38, 205.05
